,reviewContent,rating,clean_teks
401,Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,1,barang saya ko gaada ya padahal saya ngasih alamat bener dan saya cek di situs jnenya alamat tuju kok salah mohon periksa kembali saya beli barang bebarengan dengan yang lain yg lain udh sampai tapi beli di sini gaada barang sampai sekarang
403,"flashdisk 64gb tpi isi cm 2gb,gk bs dipakai",1,flashdisk gb tpi isi cm gbgk bs pakai
404,Tidak bisa berfungsi menyimpan data,1,tidak bisa fungsi simpan data
405,"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",1,barang tidak pernah sampai yg hitamyg putih ga bisa dipake
406,"Pengiriman lama, warna yang dateng putih bukan hitam",1,kirim lama warna yang dateng putih bukan hitam
409,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",1,krn pesan tdk sesuai dengan kirim dr warna saja saya pesan hitam dikirm putih dan tidak bisa pakai di labtop anak saya harus tidah seperti itu yah
411,"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",1,flashdisk saat dicopy file yg baca tengah doang ud mana beli saya tipu pantes g garansi hati hati untuk yg mau beli
412,"Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",1,ketika barang datang masih di luar kota minggubkemudian baru cek barang dari awal muncul tanya karena di bungkus sendiri tulis toshiba kapasitas gb sedang di flashdisk memang tulis gb telah coba untuk kopi file nyata banyak yang failed dan yang hasil kopi nyata juga tidak dapat buka seperti ini hanya produk gagal buat oem yang buat asalasalan untuk jual murah dan pihak toko lanjur beli dalam jumlah banyak kemudian usaha jual dengan segala cara
413,rusak gk bisa dipakai 😢 kapok,1,rusak gk bisa pakai kapok
414,Ga bisa dipakai...,1,ga bisa pakai
415,Barangnya lama sekali,1,barang lama sekali
419,"produk jauh dari yang diharapkan, sangat kecewa.",1,produk jauh dari yang harap sangat kecewa
422,Kok dapet nya warna biru,1,kok dapet nya warna biru
439,"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",2,kirim cepat kualitas gambar bagus utama kualitas suara oke dvb t fungsi baik cuma remote ada yg error tombol source tidak fungsi jd kalau mau ganti ke usb hdmi atau lain mesti pencet tombol fisik di tvnya sudah minta ganti ke seller malah suruh contact aquanya kata aqua kalau remote rusak dan baru beli bisa minta ganti ke toko ribet deh pingpong
442,Saya pesan uang sdah d transfer tapi barng tdk sampai,1,saya pesan uang sdah d transfer tapi barng tdk sampai
452,Klu cicilan gmn cranya yah,1,klu cicil gmn cranya yah
458,Tidak bisa di kurangi ya biar jadi 1.000000,1,tidak bisa di kurang ya biar jadi
460,Ini bayar di tempat apa tidak?,1,ini bayar di tempat apa tidak
462,Caranya gmn ya,1,cara gmn ya
465,"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",1,tulis khusus jabodetabektp sedia diwilyah lampung beli tp dicancel krn luar daerah klo gk bisa harus dtulis tdk sedia diwilanda
467,Bisa kiri. Ke kota blitar tidak?!,1,bisa kiri ke kota blitar tidak
468,Klw.di kirim k karawang bisa gak?,2,klwdi kirim k karawang bisa gak
469,Gambarnya tidak keliatan,2,gambar tidak liat
485,"TV nya sudah datang alhamdulillah, amin.",1,tv nya sudah datang alhamdulillah amin
538,"Barang sudah diterima dan pengiriman lumayan cepat, tapi ada 2 hal yg harus penjual perhatikan: 1. di etalase tv dijual dengan bonus free Braket, tapi yang datang cuma tv nya doang braketnya ga ada, 2. ongkir tercantum Rp 200.000 saya kirim sesuai yg tercantum, tp pas di cek di resi yang tercantum oleh ekspedisi Cobra ternyara cuma 75.000. tetep konsumen yang dirugikan. toko ini jadi catatan buat saya kecuali menylesaikannya",2,barang sudah terima dan kirim lumayan cepat tapi ada hal yg harus jual perhati di etalase tv jual dengan bonus free braket tapi yang datang cuma tv nya doang braketnya ga ada ongkir cantum rp saya kirim sesuai yg cantum tp pas di cek di resi yang cantum oleh ekspedisi cobra ternyara cuma tetep konsumen yang rugi toko ini jadi catat buat saya kecuali menylesaikannya
554,virus shortcut,1,virus shortcut
612,Gan saya pesan warna biru kok yang datang warna merah?,2,gan saya pesan warna biru kok yang datang warna merah
618,Barang yg di kirim tidak sesuai dengan yang di tampilkan,2,barang yg di kirim tidak sesuai dengan yang di tampil
635,"2bulan pake crashed, pdhl ga prnah jatoh",1,bulan pake crashed pdhl ga prnah jatoh
647,Cukup memuaskan,2,cukup muas
672,"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",1,ini cuman my passport biasa bukan my passport ultra tulis deskripsi yang bener ya
686,tidak sesuai gambar,1,tidak sesuai gambar
687,"3 kali cicilan,maksudnya 3 bln ya,persyaratan untuk kredit apa aja ya.",1,kali cicilanmaksudnya bln yapersyaratan untuk kredit apa aja ya
688,Kualitas barangny bisa di jamin g ya,2,kualitas barangny bisa di jamin g ya
724,"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",1,udah hampir minggu barang belum jg nyampeorder tgl april status pesan mas aja dlm prosesgmana ni lazada
726,"Mohon bantuan nya, kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang, mohon diperhatikan ! Terima kasih",1,mohon bantu nya kok barang bom sampai udh hari sy tunggu gag kunjung datang mohon perhati terima kasih
731,Tidak bisa menyimpan data,1,tidak bisa simpan data
735,Karna tidak bisa nyimpan film dan data,1,karna tidak bisa nyimpan film dan data
851,.,2,
863,Sya mau kembaliin produk TV ichico by yg kmrn yg psen trnyata pas smpai di rmh gambar ny ga ada suarany ad,1,sya mau kembaliin produk tv ichico by yg kmrn yg psen trnyata pas smpai di rmh gambar ny ga ada suarany ad
865,USB nya cm pormalitas doang gx bs d gunakn,1,usb nya cm pormalitas doang gx bs d gunakn
866,Knapa pesanan sayadi batalkan??,1,knapa pesan sayadi batal
867,Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,1,saya sangat kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada
912,"Tertera di depan masih ada stok, setelah di klik beli terjadi kesalahan. Mohon diperbaiki",2,tera di depan masih ada stok telah di klik beli jadi salah mohon baik
921,Bisa bayar ditempat?,2,bisa bayar tempat
923,Dd,1,dd
925,Flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni,1,flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni
945,Os sudah terisi kan. Kalau sdh pakai os win berapa gan?,1,os sudah isi kan kalau sdh pakai os win berapa gan
950,kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,1,kenapa pesan saya mostnya tidak dikasihsaya rasa rugi
957,Mau tanya bagaimana pesanan saya .. notifikasi di akun barang sudah sampai tapi hari ini saya belom terima padahal pengirimannya pake gojek tolong di cek kembali ...,1,mau tanya bagaimana pesan saya notifikasi di akun barang sudah sampai tapi hari ini saya bom terima padahal kirim pake gojek tolong di cek kembali
960,Baru berapa bulan tv mati gak jelas.,1,baru berapa bulan tv mati gak jelas
966,Bagi Yang Minat Order/Pesan Barang Kami.Untuk Lebih Lanjut Silakan add Whatsapp/WA 085342633687 Langsung Dari Resseller Toko...pengirima free ongkir se indonesia.Terimah Kasih...!!!,1,bagi yang minat orderpesan barang kamiuntuk lebih lanjut sila add whatsappwa langsung dari resseller tokopengirima free ongkir se indonesiaterimah kasih
967,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",1,bagi yang minat orderpesan barang kami untuk lebih pasti silah add whatsappwa langsung dari reseller tokoterimah kasih
983,Masa sya pesen 9agustus kode voc ia gx bisa d pake trus gmna ni penanganan ia mkcy,1,masa sya sen agustus kode voc ia gx bisa d pake trus gmna ni tangan ia mkcy
984,Cara mencicilnya gmna?klw gak ad kartu kredit,2,cara cicil gmnaklw gak ad kartu kredit
987,Kalo cicilan syarat y ap saja...,1,kalo cicil syarat y ap saja
997,"Kami menggunakan windows 10 sedangkan  yang dikirim adalah produk untuk windows dibawahnya, dan kamipun sudah mencoba untuk masuk ke windows 7 namun tetap tidak bisa digunakan, kami minta pengembalian dana saja. karna ternyata produk ini tidak sesuai harapan kami.",1,kami guna windows sedang yang kirim adalah produk untuk windows bawah dan kami sudah coba untuk masuk ke windows namun tetap tidak bisa guna kami minta kembali dana saja karna nyata produk ini tidak sesuai harap kami
1000,"klo baca ulasan jadi ragu mo beli barang kaya gini,takut rusak saat pengiriman.takut ga d kirim kirim.sebenarnya saya sih sering beli d lazada.selama ini sih masih oke oke aja.tolong dong lazada jangan kecewain pelanggan.klo ada keluhan cepat respon.",1,klo baca ulas jadi ragu mo beli barang kaya ginitakut rusak saat pengirimantakut ga d kirim kirimsebenarnya saya sih sering beli d lazadaselama ini sih masih oke oke ajatolong dong lazada jangan kecewain pelangganklo ada keluh cepat respon
1007,Paaaaaaarah,1,paaaaaaarah
1009,Liat-liat dulu om...,1,liatliat dulu om
1045,Barang bagus namun Saya kurang keroscek Sebelum memesan ternyata itu bukan hardist cuman hanya Chasing doang itu kesalahan saya... makasih,1,barang bagus namun saya kurang keroscek belum mes nyata itu bukan hardist cuman hanya chasing doang itu salah saya makasih
1050,barang tidak bisa digunakan sebagaimana fungsinya,1,barang tidak bisa guna bagaimana fungsi
1052,"Mau tanya., ini hardist atau bukn??",1,mau tanya ini hardist atau bukn
1054,kesingdoang,1,kesingdoang
1056,"Kok saya tunggu dari kemarin2 belum datang,,,",1,kok saya tunggu dari kemarin belum datang
1057,Gan uda 3 har ko belum nyampek jga barangnya,1,gan uda har ko belum nyampek jga barang
1059,3tb harga segituu ????,2,tb harga segituu
1064,Atas nama jaya Fajarot,1,atas nama jaya fajarot
1066,Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,2,tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukur hardisk pc gan mohon jelas
1067,ternyata ga bisa dipakai. pdhl udah beli dua..,1,nyata ga bisa pakai pdhl udah beli dua
1068,barang nya tidak terbaca di laptop,1,barang nya tidak baca di laptop
1069,"Tampilan bagus tapi,ngk bisa terdeteksi laptop...",1,tampil bagus tapingk bisa deteksi laptop
1070,ini kata nya external HD kenapa saya hanya terima kotak kosong saja..,1,ini kata nya external hd kenapa saya hanya terima kotak kosong saja
1071,"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",2,clickbait banget ya judul udah beli lagi nyata cuma casing untung kasih kabel usb
1072,Saya mau uang saya dikembalikan !,1,saya mau uang saya kembali
1073,wadah exten,1,wadah exten
1075,Maaf mas tidak usah dikirim. Maaf sebelumnya.,1,maaf mas tidak usah kirim maaf belum
1083,Jangan di beli gan,1,jangan di beli gan
1095,serius gan 3 TB,1,serius gan tb
1103,"Baru 6 bulan pakai,  sudah rusak.  Mati tidak bisa di charge, di Youtube banyak kasus yang sama",1,baru bulan pakai sudah rusak mati tidak bisa di charge di youtube banyak kasus yang sama
1135,"Barang jelek, saya ditipu",1,barang jelek saya tipu
1137,Apakah windows-nya original?,2,apakah windowsnya original
1141,Mahal bgt gag punya duitttt,1,mahal bgt gag punya duitttt
1152,Gan tolong cek barangnya kok blm nyampe juga padahal say pesan dari tanggal 17 mei,2,gan tolong cek barang kok blm nyampe juga padahal say pesan dari tanggal mei
1156,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,1,dagang ini tipu bilang usb tau yg dateng usb harga mahal lagi
1178,kabel ny rusak,1,kabel ny rusak
1185,ga dapet kabelnya masa :'( cuma case DOANK hiks,1,ga dapet kabel masa cuma case doank hiks
1193,"Awalnya bahagia bangat barang dah nyampe dalam 2 hari,  tapi waktu dicolokin ke pc,  hardisknya ga bisa kedetect dg kabel bawaannya. Seharusnya kabelnya dua cabang. Akhirnya harus minjam kabel teman.",1,awal bahagia bangat barang dah nyampe dalam hari tapi waktu dicolokin ke pc hardisknya ga bisa kedetect dg kabel bawa harus kabel dua cabang akhir harus minjam kabel teman
1222,Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,2,trnyata dpt kabel baru smpe blum di tes tar smoga bisa tnx
1237,Barang nya kira kira bagus g y semoga pas datang nanti bagus,2,barang nya kira kira bagus g y moga pas datang nanti bagus
1238,"Barang sampai telat, voucher antivirus sudah expired. Ada pertanggung jwbannya gak?",1,barang sampai telat voucher antivirus sudah expired ada tanggung jwbannya gak
1242,"paling enak tuh belanja di Lazada ,kenapa? lu semua pembeli kalau mau cari untung di Lazada gampang, jadi gini lu pada beli barang lebih dari tiga biji, misal beli empat, nanti kalau sudah diterima lu pada komplain, bilang aja terima tiga tinggal foto tiga biji produk, yang satu umpetin ,udah lu pasti dipercaya, dan dijamin duit lu balik untuk barang yg dianggap belum dikirim satu lg, GW punya kasus gara2 merchant nama aneka perdana, GW beli enam ,dikirim lima, GW komplain, tapi foto gw g dipercaya karena g di foto sama kemasan, padahal GW beli barang lain yg mahal2 bgt g pernah akal-akalan, ini barang murah g seberapa , harganya g di percaya, lihat aja transaksi GW kan ketahuan, ah udah lah pokoknya mau cari untung di Lazada ikuti cara GW diatas dijamin berhasil ,komplain , Lazada Kiki  no komplain ,  inget nama merchant aneka perdana, masalah sudah sebulan masih gantung !!!!, terima kasih lazada mengalahkan rekor komet ya!!!!!! komplainya, buat jadi pertimbangan lu semua sob ,mudah-mudahan ada manfaatnya",1,paling enak tuh belanja di lazada kenapa lu semua beli kalau mau cari untung di lazada gampang jadi gin lu pada beli barang lebih dari tiga biji misal beli empat nanti kalau sudah terima lu pada komplain bilang aja terima tiga tinggal foto tiga biji produk yang satu umpetin udah lu pasti percaya dan jamin duit lu balik untuk barang yg anggap belum kirim satu lg gw punya kasus gara merchant nama aneka perdana gw beli enam kirim lima gw komplain tapi foto gw g percaya karena g di foto sama kemas padahal gw beli barang lain yg mahal bgt g pernah akalakalan ini barang murah g berapa harga g di percaya lihat aja transaksi gw kan tahu ah udah lah pokok mau cari untung di lazada ikut cara gw atas jamin hasil komplain lazada kiki no komplain inget nama merchant aneka perdana masalah sudah bulan masih gantung terima kasih lazada kalah rekor komet ya komplainya buat jadi timbang lu semua sob mudahmudahan ada manfaat
1245,cara klaim garansi gimana y?,2,cara klaim garansi gimana y
1286,"Barang sudah sampai.paket rapi .Tapi kemarin ada misi kemarin harusnya saya minta diantar pakai gojeg tapi kok di rubah pakai pengiriman biasa.tanpa konfirmasi,mungkin itu masukan saya untuk yg lainnya okelah",1,barang sudah sampaipaket rapi tapi kemarin ada misi kemarin harus saya minta antar pakai gojeg tapi kok di rubah pakai kirim biasatanpa konfirmasimungkin itu masuk saya untuk yg lain oke
1296,ga nyampe 2 minggu pisan,1,ga nyampe minggu pis
1299,Produk tidak disertai Kartu Garansi. Invoice tidak menyatakan bahwa produk ini bergaransi,1,produk tidak serta kartu garansi invoice tidak nyata bahwa produk ini garansi
1324,Product yang kami terima tidak bekerja dan tidak dapat di gunakan. Mohon dapat diganti,1,product yang kami terima tidak kerja dan tidak dapat di guna mohon dapat ganti
1424,"Penjualnya kasih garansi berapa bulan nih, bisanya Asus 24 bulan tp ini kok cuman 1 tahun,...jadi ragu mau beli",1,jual kasih garansi berapa bulan nih bisa asus bulan tp ini kok cuman tahunjadi ragu mau beli
1428,gw kena PHP harbolnas lazada 2 kali. musti pertebal ilmu sabar dan ikhlas....,1,gw kena php harbolnas lazada kali musti tebal ilmu sabar dan ikhlas
1429,Masih ada gak ini....,2,masih ada gak ini
1434,"produk bagus dan original, namun pengiriman lama benget kurang lebih 1 bulan, baru sampai",2,produk bagus dan original namun kirim lama benget kurang lebih bulan baru sampai
1454,"Mohon bantuannya untuk HDD eksternal ini tidak dapat do baca di laptop, macbook maupun pc, saya mohon untuk barang ini dapat di tukarkan yang baru",1,mohon bantu untuk hdd eksternal ini tidak dapat do baca di laptop macbook maupun pc saya mohon untuk barang ini dapat di tukar yang baru
1485,Jelek,1,jelek
1499,gan...kenapa hard disk yg saya beli rusak ya?,1,gankenapa hard disk yg saya beli rusak ya
1585,"Produk ok, tapi voucher yg tertera pd penawaran sudah expired",1,produk ok tapi voucher yg tera pd tawar sudah expired
1640,Barang bagus tp anti virusnya kok di ganti stiker......,1,barang bagus tp anti virus kok di ganti stiker
1650,Saya tidak mendapatkan antivirus kaspersky yang dijanjikan ada di dalam paket ini sebagai gantinya saya hanya mendapatkan gantungan kunci yang tidak berguna mengecewakan,1,saya tidak dapat antivirus kaspersky yang janji ada di dalam paket ini bagai ganti saya hanya dapat gantung kunci yang tidak guna kecewa
1691,Antivirus nya ga bisa di claim,2,antivirus nya ga bisa di claim
1707,Bisa windows 7?.,2,bisa windows
1733,Saya pesan tgl 3 Jun dan lsg byr dgn metode kirim express utk dikirim tgl 5 Jun.. Namun smpe tgl 7 Jun jam 8.30 barang blm saya terima.. Tyt metode kirim express diganti menjadi regular tnp ada konfirmasi kepada saya lebih dulu..pada saat bayar brg saya sdh kena charge biaya kirim express sdgkan kl regular free delivery..saat ditanya antara pihak Lazada dgn supplier saling tunjuk satu dgn yg lain perihal gojek yg tak kunjung datang di tgl 5 Jun..nah skr malah mrk pakai ninja express..sang ninja express malam jam 9 tgl 6 Jun telp saya utk mw kirim brg..gilaa aja alamat kirim ke kantor kagak dicek dulu pa ya jam 9 malam bru mw dikirim siapa yg mw trimain..bener2 kapok saya cukup sekali ini..,1,saya pesan tgl jun dan lsg byr dgn metode kirim express utk kirim tgl jun namun smpe tgl jun jam barang blm saya terima tyt metode kirim express ganti jadi regular tnp ada konfirmasi kepada saya lebih dulupada saat bayar brg saya sdh kena charge biaya kirim express sdgkan kl regular free deliverysaat tanya antara pihak lazada dgn supplier saling tunjuk satu dgn yg lain perihal gojek yg tak kunjung datang di tgl junnah skr malah mrk pakai ninja expresssang ninja express malam jam tgl jun telp saya utk mw kirim brggilaa aja alamat kirim ke kantor kagak cek dulu pa ya jam malam bru mw kirim siapa yg mw trimainbener kapok saya cukup sekali ini
1734,Kalau HDD-nya emang 4TB?,1,kalau hddnya emang tb
1742,"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim...",1,masa go jek sdh kesana tutup terus toko order tgl mei sampai dg detik ini barang blm kirim
1855,"Barangnya Ok, pengirimannya lama buanget capek nunggunya",2,barang ok kirim lama buanget capek nunggunya
1938,barangnya kecil banget..kirain seperti gambar gede,2,barang kecil bangetkirain seperti gambar gede
2333,Baru pakai 3 hari hdd sudah rusak data hilang!  Jangan di beli ! Tidak di rekomendasi,1,baru pakai hari hdd sudah rusak data hilang jangan di beli tidak di rekomendasi
2334,Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!,1,telah nunggu proses kirim lambat minggu tau batal stock tdk ada promonya ga jelas
2348,Bagus gak ?,1,bagus gak
2682,Barang ready??,1,barang ready
2687,"Dari segi packing cukup bagus, kondisi fisik barang terlihat bagus dan bahan yg digunakan cukup lumayan, elegan dan simpel menurut saya.tapi sayang, begitu dicoba barang tidak berfungsi. Hanya lampu indikator saja yg menyala. tidak terdeteksi sama sekali di windows.",1,dari segi packing cukup bagus kondisi fisik barang lihat bagus dan bahan yg guna cukup lumayan elegan dan simpel turut sayatapi sayang begitu coba barang tidak fungsi hanya lampu indikator saja yg nyala tidak deteksi sama sekali di windows
2822,barang sudah keterima tapi ga bisa ke detect di komputer.. mohon solusi buat pengembalian barang karena dalam paket gak ada kertas buat pengembalian barang,1,barang sudah terima tapi ga bisa ke detect di komputer mohon solusi buat kembali barang karena dalam paket gak ada kertas buat kembali barang
2856,Barang KW,1,barang kw
2933,Kenapa saya pesan ini yang dtang mlah jam digital ? Apkah bisa di retur,1,kenapa saya pesan ini yang dtang mlah jam digital apkah bisa di retur
3228,"Ada yg penyok pada casenya di bagian antena, mungkin pengiriman kurang aman dan hati2, tp untungnya masih fungsi baik. Deskripsinya ada yg gak sesuai, gak ada batre/powerbank tuh. Buku manualnya bahasa cina, ga ngerti. Coba2 sendiri akhirnya bisa, di bantu google.",1,ada yg penyok pada casenya di bagi antena mungkin kirim kurang aman dan hati tp untung masih fungsi baik deskripsi ada yg gak sesuai gak ada batrepowerbank tuh buku manual bahasa cina ga ngerti coba sendiri akhir bisa di bantu google
3244,Gan apa ini barang khusus djabotabek aja ke bandung ga bisa?,2,gan apa ini barang khusus djabotabek aja ke bandung ga bisa
3262,xxnnxif,2,xxnnxif
3269,MOHON BATALKAN PESANAN SAYA KARENA SAYA BERADA DILUAR KOTA,1,mohon batal pesan saya karena saya ada luar kota
3277,Packing Fragile,2,packing fragile
3278,Mohon petunjuk nya,2,mohon tunjuk nya
3283,"Saya nunggu seharian, kenapa ga di proses sama sekali?  Padahal saya minta pengiriman via gojek loh...",1,saya nunggu hari kenapa ga di proses sama sekali padahal saya minta kirim via gojek loh
